Identifier,Transcription,Characters,Sixtuple,Fanqie
1741,xaX,㰤㗿㪃㪋𩑸,果開一上歌曉,虚我
1742,khaX,可岢軻坷,果開一上歌溪,枯我
1743,'aX,𨵌椏妸娿𣘨㫊𧙃,果開一上歌影,烏可
1744,tsaX,左㝾,果開一上歌精,臧可
1745,kwaX,果菓猓輠鐹划裹蜾惈䴹粿錁餜,果合一上戈見,古火
1746,twaX,埵鬌挆朵朶綞揣鍺𦀉𥿰𨹄𨹃䤪𨦃𩊜𥠄㪜褍躲,果合一上戈端,丁果
1747,swaX,鎖瑣溑惢𧴪葰䵀𩹳𥔭𨝉𢱡䈗,果合一上戈心,蘇果
1748,dwaX,墮垛𤬾䅜𥬲𥬸𥳔𩊜䤻憜惰嫷鬌䲊嶞,果合一上戈定,徒果
1749,thwaX,妥媠隋䲊㟎𨼰墮橢鵎,果合一上戈透,他果
1750,maX,麼𣋟懡嬤,果合一上戈明,亡果
1751,dzwaX,坐𡋲,果合一上戈從,徂果
1752,ngwaX,㛂𢀴,果合一上戈疑,五果
1753,lwaX,裸倮𧝹躶臝卵瘰𤼠蓏蠃𦝠,果合一上戈來,郎果
1754,'waX,婐倭𥟿,果合一上戈影,烏果
1755,nwaX,㛂𢫷,果合一上戈泥,奴果
1756,paX,跛簸駊㝿,果合一上戈幫,布火
1757,phaX,叵駊頗𡽠,果合一上戈滂,普火
1758,hwaX,禍𥚁𥙯夥𡖿𣄸輠𨘌,果合一上戈匣,胡果
1759,xwaX,火邩,果合一上戈曉,呼果
1760,khwaX,顆敤堁棵,果合一上戈溪,苦果
1761,baX,爸,果合一上戈並,捕可
1762,tshwaX,脞䂳,果合一上戈清,倉果
1763,tswaX,硰,果合一上戈精,作可
1764,maeX,馬碼瑪䣕罵駡𥧓鷌螞鰢,假開二上麻明,莫下
1765,tsyaeX,者赭堵,假開三上麻章,章也
1766,yaeX,野壄也冶虵,假開三上麻以,羊者
1767,ngaeX,雅疋庌厊㿿,假開二上麻疑,五下
1768,kaeX,假檟榎嘏叚賈斝瘕椵婽,假開二上麻見,古疋
1769,sraeX,灑,假開二上麻生,砂下
1770,'aeX,啞瘂𤺘,假開二上麻影,烏下
1771,zjaeX,灺抯䵦,假開三上麻邪,徐野
1772,haeX,下丅夏廈,假開二上麻匣,胡雅
1773,sjaeX,寫𣞐瀉𣬕,假開三上麻心,悉姐
1774,tsjwaX,𡎬,果合三上戈精,𩛠瓦
1775,mjaeX,乜,假開三上麻明,彌也
1776,tshjaeX,且,假開三上麻清,七也
1777,xaeX,㗿閜襾,假開二上麻曉,許下
1778,dzyaeX,社𥁹𣝒,假開三上麻常,常者
1779,khaeX,跒,假開二上麻溪,苦下
1780,baeX,跁笆䇑,假開二上麻並,傍下
1781,syaeX,捨舍騇䬷𩜉,假開三上麻書,書冶
1782,tsjaeX,姐抯飷,假開三上麻精,兹野
1783,paeX,把,假開二上麻幫,愽下
1784,hwaeX,踝稞𡱏𦖍黊蘳觟𩸄𢦚輠䴹,假合二上麻匣,胡瓦
1785,kwaeX,寡冎剮𣑍𠊰𠁥䈑𥦛𨀩,假合二上麻見,古瓦
1786,ngwaeX,瓦邷,假合二上麻疑,五寡
1787,nyaeX,若惹𠰒喏,假開三上麻日,人者
1788,tsraeX,鮓厏痄謯𥰭,假開二上麻莊,側下
1789,traeX,觰,假開二上麻知,都賈
1790,dzraeX,槎厏,假開二上麻崇,士下
1791,tsyhaeX,扯奲㨋䰩哆撦,假開三上麻昌,昌者
1792,traeX,䋾,假開二上麻知,竹下
1793,nraeX,䋈,假開二上麻娘,奴下
1794,khwaeX,髁跨骻㡁𢄳銙𡕒,假合二上麻溪,苦瓦
1795,tsrhwaeX,䂳,假合二上麻初,叉瓦
1796,trhwaeX,䊬,假合二上麻徹,丑寡
1797,srwaeX,葰𧫝傻耍,假合二上麻生,沙瓦
1798,trhaeX,奼姹,假開二上麻徹,丑下
1799,laeX,藞,假開二上麻來,盧下
1800,yangX,養痒癢瀁蝆蛘勨𧓲,宕開三上陽以,餘兩
1801,zjangX,像象蟓橡襐勨鱌潒𨖶𦺨嶑,宕開三上陽邪,徐兩
1802,tsjangX,獎㢡䉃槳㯍蔣,宕開三上陽精,即兩
1803,ljangX,兩㒳脼𣓈緉蜽魎㔝𠓜䓣倆裲掚,宕開三上陽來,良㢡
1804,'jangX,鞅柍秧䬬詇岟駚炴𧵌怏紻,宕開三上陽影,於兩
1805,gjangX,勥彊弜誩滰,宕開三上陽群,其兩
1806,ngjangX,仰䒢卬,宕開三上陽疑,魚兩
1807,tsrhjangX,磢㼽𠞮搶闖漺愴,宕開三上陽初,初兩
1808,sjangX,想鯗,宕開三上陽心,息兩
1809,tsyangX,掌仉𤓯,宕開三上陽章,諸兩
1810,srjangX,爽𤕤𦄍鷞塽樉㼽漺䫪,宕開三上陽生,踈兩
1811,xjangX,響饗蠁䖮亯亨享嚮曏,宕開三上陽曉,許兩
1812,tsyhangX,敞𢠵氅𪅶廠䟫僘,宕開三上陽昌,昌兩
1813,kjangX,繦繈鏹襁膙憼,宕開三上陽見,居兩
1814,drjangX,丈杖仗㽴,宕開三上陽澄,直兩
1815,trhjangX,昶鋹,宕開三上陽徹,丑兩
1816,kjwangX,獷,宕合三上陽見,居往
1817,nyangX,壤䖆䑋穰蠰攘躟𥗝嚷,宕開三上陽日,如兩
1818,syangX,賞𩞧𩞃饟曏償,宕開三上陽書,書兩
1819,phjangX,仿髣彷紡鶭䲱,宕合三上陽滂,妃兩
1820,mjangX,网網罔輞棢惘菵誷𡔞𦖉蛧魍,宕合三上陽明,文兩
1821,pjangX,昉倣放瓬,宕合三上陽幫,分网
1822,'jwangX,枉𢽃汪𣢫,宕合三上陽影,紆往
1823,hjwangX,往暀,宕合三上陽云,于兩
1824,xjwangX,怳𧧢𧧮詤謊,宕合三上陽曉,許昉
1825,tshjangX,搶摤,宕開三上陽清,七兩
1826,trjangX,長,宕開三上陽知,知丈
1827,dzyangX,上丄,宕開三上陽常,時掌
1828,gjwangX,俇,宕合三上陽群,求往
1829,kjwangX,臩迋𠏤逛,宕合三上陽見,俱往
1830,bjangX,𩦠,宕合三上陽並,毗養
1831,tsrhjangX,䫪傸,宕開三上陽初,初丈
1832,dangX,蕩崵婸𥯕潒𢠽愓璗盪䑗簜嵣,宕開一上唐定,徒朗
1833,sangX,顙嗓𣞙𣡆磉搡,宕開一上唐心,蘇朗
1834,kwangX,廣鄺,宕合一上唐見,古晃
1835,pangX,榜牓螃𣮧䰃蒡,宕開一上唐幫,北朗
1836,tsangX,駔驡髒,宕開一上唐精,子朗
1837,nangX,曩灢,宕開一上唐泥,奴朗
1838,hangX,沆骯䟘𡕬蚢吭,宕開一上唐匣,胡朗
1839,thangX,曭儻偒戃矘帑𣎲𥯕㼒㿩爣攩倘踼躺淌惝,宕開一上唐透,他朗
1840,mangX,莽茻壾䁳䒎㬒䥈蠎蟒漭㟐,宕開一上唐明,模朗
1841,tangX,黨讜欓䣣𧅗灙攩党瓽儻𥤗蕩擋,宕開一上唐端,多朗
1842,langX,朗朖誏俍崀榔㝗,宕開一上唐來,盧黨
1843,'angX,坱姎映泱咉醠䇦駚軮盎,宕開一上唐影,烏朗
1844,khangX,慷忼骯𡻚䡉㝩懭,宕開一上唐溪,苦朗
1845,'wangX,㳹瀇,宕合一上唐影,烏晃
1846,hwangX,晃幌櫎榥滉攩皝,宕合一上唐匣,胡廣
1847,phangX,髈䒍,宕開一上唐滂,匹朗
1848,xwangX,慌爌𡧽䁜㬻𣆖𧧢詤謊,宕合一上唐曉,呼晃
1849,kangX,䴚𨟼㽘䟘,宕開一上唐見,各朗
1850,ngangX,䭹,宕開一上唐疑,五朗
1851,dzangX,奘,宕開一上唐從,徂朗
1852,tshangX,蒼,宕開一上唐清,麁朗
1853,xangX,汻酐𤰟,宕開一上唐曉,呼朗
1854,khwangX,懬䡉爌,宕合一上唐溪,丘晃
1855,kaengX,梗挭哽郠綆鯁埂骾𧋑,梗開二上庚見,古杏
1856,pjaengX,丙昞怲邴炳秉窉苪蛃,梗開三上庚幫,兵永
1857,kjaengX,警儆景境璥蟼㯳憼,梗開三上庚見,居影
1858,'jaengX,影璟璄䭘摬㲟𠝟𩘑,梗開三上庚影,於丙
1859,srjaengX,省眚㾪𡞞䚇𨵥㼳渻𨜜,梗開三上庚生,所景
1860,hjwaengX,永栐,梗合三上庚云,于憬
1861,xjwaengX,𦬺,梗合三上庚曉,許永
1862,mjaengX,皿𥥊𥁰,梗開三上庚明,武永
1863,kjwaengX,憬囧煚璟臩暻,梗合三上庚見,俱永
1864,haengX,杏莕荇,梗開二上庚匣,何梗
1865,maengX,猛蜢艋𥋝鱦鄳,梗開二上庚明,莫幸
1866,kwaengX,礦鑛𨥥𪍿䵃獷穬,梗合二上庚見,古猛
1867,paengX,浜㑟𧚭,梗開二上庚幫,布梗
1868,traengX,盯,梗開二上庚知,張梗
1869,draengX,瑒,梗開二上庚澄,徒杏
1870,'waengX,䁝浻奣,梗合二上庚影,烏猛
1871,taengX,打,梗開二上庚端,德冷
1872,laengX,冷,梗開二上庚來,魯打
1873,hwaengX,卝澋,梗合二上庚匣,乎䁝
1874,baengX,鮩,梗開二上庚並,蒲猛
1875,khwaengX,𥉁,梗合二上庚溪,苦礦
1876,nraengX,檸,梗開二上庚娘,拏梗
1877,keangX,耿𦵸𥉔,梗開二上耕見,古幸
1878,meangX,䁅鼆黽,梗開二上耕明,武幸
1879,heangX,幸𡴘㚔𠂷倖㼬,梗開二上耕匣,胡耿
1880,beangX,𠊧傡併𩶁蠯螷,梗開二上耕並,蒲幸
1881,pheangX,皏,梗開二上耕滂,普幸
1882,dzjengX,靜睜靖妌婧穽阱猙𩇕竫,梗開三上清從,疾郢
1883,tsyengX,整𢿋,梗開三上清章,之郢
1884,trhjengX,逞騁裎悜䩶睈,梗開三上清徹,丑郢
1885,yengX,郢浧梬,梗開三上清以,以整
1886,gjiengX,痙涇,梗開三上清群,巨郢
1887,ywengX,穎潁,梗合三上清以,餘頃
1888,ljengX,領嶺阾柃袊䕘,梗開三上清來,良郢
1889,kjiengX,頸,梗開三上清見,居郢
1890,pjiengX,餅屏鉼併䴵,梗開三上清幫,必郢
1891,khjwiengX,頃𩒵頔㩩檾苘䔛,梗合三上清溪,去潁
1892,tsjengX,井𨙷,梗開三上清精,子郢
1893,'jiengX,廮癭𨟙𣤵𦢆,梗開三上清影,於郢
1894,tshjengX,請睛,梗開三上清清,七靜
1895,sjengX,省渻睲惺㮐𢜫,梗開三上清心,息井
1896,mjiengX,眳慏,梗開三上清明,亡井
1897,drjengX,徎𣵹,梗開三上清澄,丈井
1898,hwengX,迥冋炯泂𦳖,梗合四上青匣,戸頂
1899,kwengX,熲炅炯𠖷㯋𩚱煛𧍮,梗合四上青見,古迥
1900,mengX,茗嫇酩瀴溟眳姳,梗開四上青明,莫迥
1901,tengX,頂𩠑𩕢奵耵鼎薡酊濎葶靪打㞟,梗開四上青端,都挺
1902,dengX,挺艇鋌梃娗町霆莛涏蜓訂誔,梗開四上青定,徒鼎
1903,thengX,珽圢脡侹頲徎𡈼町艼𤱹𦉬䦐,梗開四上青透,他鼎
1904,dzengX,汫,梗開四上青從,徂醒
1905,'wengX,濙,梗合四上青影,烏迥
1906,khengX,謦,梗開四上青溪,去挺
1907,nengX,𩕳聹濘䗿䔭,梗開四上青泥,乃挺
1908,hengX,婞悻涬鋞脛緈,梗開四上青匣,胡頂
1909,sengX,醒箵,梗開四上青心,蘇挺
1910,pengX,鞞,梗開四上青幫,補鼎
1911,khwengX,褧檾苘烓顈絅,梗合四上青溪,口迥
1912,kengX,剄烴,梗開四上青見,古挺
1913,phengX,頩,梗開四上青滂,匹迥
1914,'engX,巊瀴𩳍,梗開四上青影,烟涬
1915,lengX,笭冷𦊓,梗開四上青來,力鼎
1916,bengX,竝並鮩併,梗開四上青並,蒲迥
1917,xwengX,詗,梗合四上青曉,火迥
1918,ngengX,䀴矨,梗開四上青疑,五剄
1919,tsyingX,拯抍撜𨋬氶,曾開三上蒸章,
1920,trhingX,庱,曾開三上蒸徹,丑拯
1921,gingX,殑,曾開三上蒸群,其拯
1922,sringX,㱡,曾開三上蒸生,色庱
1923,tongX,等戥,曾開一上登端,多肯
1924,phongX,倗剻,曾開一上登滂,普等
1925,khongX,肯肎,曾開一上登溪,苦等
1926,nongX,能,曾開一上登泥,奴等
1927,hjuwX,有右䳑友㕛䀁𥁓栯䒴,流開三上尤云,云久
1928,ljuwX,柳罶𦊑懰珋𩖴嬼䉧𪕋熮瀏綹𨋖茆,流開三上尤來,力久
1929,nrjuwX,紐狃鈕杻莥禸扭𢔟䏔𨙺𦱙,流開三上尤娘,女久
1930,trhjuwX,丑杻杽,流開三上尤徹,敕久
1931,trjuwX,肘疛𤶡扭,流開三上尤知,陟柳
1932,xjuwX,朽㱙㽲殠,流開三上尤曉,許久
1933,kjuwX,久九玖灸韭𡚰𨾉,流開三上尤見,舉有
1934,syuwX,手首𩠐𦣻䭭守,流開三上尤書,書九
1935,tsyhuwX,醜𧃝魗,流開三上尤昌,昌九
1936,dzjuwX,湫愀,流開三上尤從,在九
1937,bjuwX,負婦䘀萯蝜阜𨸏𪃓偩𦰺𨹺䧞㷆菩𧌈,流開三上尤並,房久
1938,pjuwX,否缶缹不鴀痞殕𡜊,流開三上尤幫,方久
1939,khjuwX,糗,流開三上尤溪,去久
1940,nyuwX,蹂楺煣輮沑禸葇𥠊韖粈禸,流開三上尤日,人九
1941,gjuwX,舅倃臼齨麔咎䳎䊆𤷑𢛃䛮𣓌桕,流開三上尤群,其九
1942,drjuwX,紂䈙鮦葤棸𦡴,流開三上尤澄,除柳
1943,yuwX,誘酉丣𦍶䛻牖卣槱𥟁莠羑庮蜏㝌𣣸琇梄𤪎輶𨣆𦏇,流開三上尤以,與久
1944,dzyuwX,受壽璹綬𨞪,流開三上尤常,殖酉
1945,sjuwX,滫糔䤇𦄼,流開三上尤心,息有
1946,'juwX,䬀䱂懮,流開三上尤影,於柳
1947,tsjuwX,酒,流開三上尤精,子酉
1948,srjuwX,𣸈溲,流開三上尤生,踈有
1949,tsyuwX,帚箒𧳜鯞晭,流開三上尤章,之九
1950,phjuwX,㤱紑𩂆,流開三上尤滂,芳否
1951,tsrjuwX,掫搊𧌗,流開三上尤莊,側九
1952,dzrjuwX,𥣙,流開三上尤崇,士九
1953,tsrhjuwX,𩋄𩌄,流開三上尤初,初九
1954,phjuwX,秠,流開三上尤滂,芳婦
1955,huwX,厚垕後𨒥后郈㖃,流開一上侯匣,胡口
1956,muwX,母牡某拇胟𠭇畝畮畞莽𤝕𤵝踇𧿹䳇鵡,流開一上侯明,莫厚
1957,buwX,部培犃䏽瓿䍌䴺篰蔀婄,流開一上侯並,蒲口
1958,tuwX,斗㪷枓蚪阧陡抖襡,流開一上侯端,當口
1959,thuwX,𪌜飳妵黈𩿢蘣斢鈄䱏,流開一上侯透,天口
1960,kuwX,苟玽狗垢笱𦊒耇詬枸茩岣敂豿,流開一上侯見,古厚
1961,nguwX,藕蕅偶耦髃㼴,流開一上侯疑,五口
1962,puwX,㨐掊,流開一上侯幫,方垢
1963,nuwX,㝅㳶陾𡝦啂𡭾,流開一上侯泥,乃后
1964,suwX,叜叟𠊯傁嗾𠻛𥈃瞍謏擻藪籔䏂廀廋棷駷操,流開一上侯心,蘇后
1965,xuwX,吼吽呴㸸𤘽蚼㖃,流開一上侯曉,呼后
1966,phuwX,剖婄蔀䳝䯽,流開一上侯滂,普后
1967,'uwX,歐嘔毆敺㸸𠙶塸䙔慪,流開一上侯影,烏后
1968,luwX,簍塿嘍甊𪍣嶁㪹謱漊䅹,流開一上侯來,郎斗
1969,tsuwX,走,流開一上侯精,子苟
1970,khuwX,口扣㸸𤘘釦叩𧥣𨙫竘,流開一上侯溪,苦后
1971,duwX,䕆𨪐𠁁揄𩿢襡,流開一上侯定,徒口
1972,dzruwX,鯫,流開一上侯崇,仕垢
1973,tshuwX,趣取棷,流開一上侯清,蒼苟
1974,'jiwX,黝怮䬀蚴泑眑𣢜,流開三上幽影,於糾
1975,kjiwX,糾赳朻𨷺鬮,流開三上幽見,居黝
1976,gjiwX,蟉,流開三上幽群,渠黝
1977,tshimX,寑寢𡪢梫㾛𡬓𦯈鋟䤐,深開三上侵清,七稔
1978,drimX,朕𦩗𦩎鰧螣栚顩,深開三上侵澄,直稔
1979,khjimX,坅,深開三上侵溪,丘甚
1980,limX,廩㐭懍菻凜凜顲𤎭癛檁澟,深開三上侵來,力稔
1981,simX,罧伈,深開三上侵心,斯甚
1982,trhimX,踸鍖䫖,深開三上侵徹,丑甚
1983,tsimX,䤐𡩻䭙䐶,深開三上侵精,子朕
1984,nyimX,荏飪餁䭃稔栠恁袵䏕䇮棯𢆉銋腍,深開三上侵日,如甚
1985,tsyimX,枕䪴䫬,深開三上侵章,章荏
1986,syimX,沈邥宷審㰂瞫諗䰼魫淰㜤䀢𩶇𧀯嬸,深開三上侵書,式任
1987,zyimX,葚𣞵,深開三上侵船,食荏
1988,dzyimX,甚訦,深開三上侵常,常枕
1989,tsyhimX,瀋,深開三上侵昌,昌枕
1990,tsrhimX,墋醦磣,深開三上侵初,初朕
1991,nrimX,拰,深開三上侵娘,尼凜
1992,gimX,噤䫴凚唫,深開三上侵群,渠飲
1993,kimX,錦,深開三上侵見,居飲
1994,dzimX,蕈,深開三上侵從,慈荏
1995,ngimX,僸趛,深開三上侵疑,牛錦
1996,srimX,㾕瘮槮,深開三上侵生,踈錦
1997,pimX,稟,深開三上侵幫,筆錦
1998,'imX,㱃飲𤃷,深開三上侵影,於錦
1999,phimX,品,深開三上侵滂,丕飲
2000,khimX,𩖄顉,深開三上侵溪,欽錦
2001,ximX,廞,深開三上侵曉,許錦
2002,trimX,戡㱽,深開三上侵知,張甚
2003,yimX,潭,深開三上侵以,以荏
2004,dzrimX,𩒣,深開三上侵崇,士㾕
2005,komX,感𥸡鱤灝贑䤗贛㔶𧆐䃭灨,咸開一上覃見,古禫
2006,domX,禫䊤䨢黮窞髧萏𧂄倓𥥦𧡪醰嘾贉譚𣛱,咸開一上覃定,徒感
2007,'omX,晻黭揞唵隌罯黤㞄,咸開一上覃影,烏感
2008,nomX,腩湳䈒𦐃揇萳,咸開一上覃泥,奴感
2009,thomX,襑𥁺醓䏙嗿黮忐,咸開一上覃透,他感
2010,dzomX,歜㣅㔆䰼,咸開一上覃從,徂感
2011,tshomX,慘憯朁黲㜗傪噆䫩,咸開一上覃清,七感
2012,ngomX,顉㜝嵁,咸開一上覃疑,五感
2013,tsomX,昝寁撍,咸開一上覃精,子感
2014,somX,糂糝糣𢕕㧲槮䫩䊉,咸開一上覃心,桑感
2015,khomX,坎歁惂輡錎轗埳顑竷臽,咸開一上覃溪,苦感
2016,homX,頷頜𡣊撼淊菡欿蜭涵肣𢎘𢇞𢃗莟顄𡻡,咸開一上覃匣,胡感
2017,lomX,壈燷𨎹浨醂顲𠓭纜漤,咸開一上覃來,盧感
2018,tomX,黕耽𡖓衴䪴丼瓭抌𥴶,咸開一上覃端,都感
2019,xomX,䫲,咸開一上覃曉,呼唵
2020,kamX,敢𠭖𣪏𢽤橄澉䇞,咸開一上談見,古覽
2021,syamX,㶒,咸開一上談書,賞敢
2022,lamX,覽爁擥攬欖罱,咸開一上談來,盧敢
2023,thamX,𦵹菼緂𤎥毯𦃖裧𠪚,咸開一上談透,吐敢
2024,tamX,膽紞䃫黵䒞𪆻,咸開一上談端,都敢
2025,damX,噉啖啗澹𥲄淡憺惔,咸開一上談定,徒敢
2026,tshamX,黲,咸開一上談清,倉敢
2027,mamX,㛧𩛎,咸開一上談明,謨敢
2028,tsamX,䭕,咸開一上談精,子敢
2029,dzamX,槧鏨嵌㟛,咸開一上談從,才敢
2030,xamX,喊嚂𡒓㯺,咸開一上談曉,呼覽
2031,'amX,埯揜,咸開一上談影,烏敢
2032,khamX,𠪚䖔,咸開一上談溪,口敢
2033,yemX,琰剡𨁹棪燄淡扊淊夵䎦䌪,咸開三上鹽以,以冉
2034,ljemX,斂撿薟蘞瀲澰獫溓嬚䭑羷䌞㰈㯬,咸開三上鹽來,良冉
2035,xjemX,險獫玁㛍譣憸𩏩嶮,咸開三上鹽曉,虚檢
2036,pjemX,貶𦥘,咸開三上鹽幫,方斂
2037,tsyemX,颭,咸開三上鹽章,占琰
2038,khjemX,𩑳嵰,咸開三上鹽溪,丘檢
2039,ngjemX,顩广隒嬐䲓嶮噞,咸開三上鹽疑,魚檢
2040,gjemX,儉芡,咸開三上鹽群,巨險
2041,kjemX,檢瞼,咸開三上鹽見,居奄
2042,'jiemX,黶𧞣檿厭魘厴擪酓,咸開三上鹽影,於琰
2043,nyemX,冉姌苒染𩃵䎃柟䣸𥬕𡜉,咸開三上鹽日,而琰
2044,syemX,閃陝睒𧴭𧵏覢㴸㚒𡟨,咸開三上鹽書,失冉
2045,trhjemX,諂讇,咸開三上鹽徹,丑琰
2046,'jemX,奄𩃗䣍㭺閹掩揜裺晻渰罨弇𣃰媕𤗎𡹮𣄉,咸開三上鹽影,衣儉
2047,dzjemX,漸𥕌蔪𦾶䟅嚵䤔鏨螹槧,咸開三上鹽從,慈染
2048,tshjemX,憸䤘,咸開三上鹽清,七漸
2049,tsjemX,𩟗,咸開三上鹽精,子冉
2050,khjiemX,脥,咸開三上鹽溪,謙琰
2051,dzyemX,剡,咸開三上鹽常,時染
2052,themX,忝䄼栝銛悿餂舔,咸開四上添透,他玷
2053,nemX,淰㜤𨸱姌,咸開四上添泥,乃玷
2054,temX,點玷𦒻㓠䍄,咸開四上添端,多忝
2055,demX,簟扂𠂼驔橝㶘,咸開四上添定,徒玷
2056,khemX,嗛歉慊膁,咸開四上添溪,苦簟
2057,lemX,稴溓𤬓,咸開四上添來,力忝
2058,hemX,鼸㺌,咸開四上添匣,胡忝
2059,tshemX,憯,咸開四上添清,青忝
2060,kemX,孂,咸開四上添見,兼玷
2061,memX,𡕢厸,咸開四上添明,明忝
2062,ngjaemX,儼广𠆲㢂礹𢇘曮,咸開三上嚴疑,魚掩
2063,khjaemX,欦厱,咸開三上嚴溪,丘广
2064,'jaemX,埯𣃧,咸開三上嚴影,於广
2065,heamX,豏餡減㺝喊㺌𡞣𥻇甉,咸開二上咸匣,下斬
2066,dreamX,湛㴴偡,咸開二上咸澄,徒減
2067,kheamX,㦿𢜩歉撖䫡𣓅槏,咸開二上咸溪,苦減
2068,keamX,鹼碱堿鹻減𥳒,咸開二上咸見,古斬
2069,dzreamX,瀺嶃嶄嵁,咸開二上咸崇,士減
2070,leamX,臉醶,咸開二上咸來,力減
2071,tsreamX,斬,咸開二上咸莊,側減
2072,tsrheamX,䑎䤘,咸開二上咸初,初減
2073,xeamX,闞欦,咸開二上咸曉,火斬
2074,sreamX,摻㺑醦𧀵,咸開二上咸生,所斬
2075,'eamX,黯,咸開二上咸影,乙減
2076,xeamX,喊,咸開二上咸曉,呼豏
2077,nreamX,𦊔𦌫淰,咸開二上咸娘,女減
2078,trheamX,𠐩旵,咸開二上咸徹,丑減
2079,haemX,檻艦壏𥽏㔋濫𨏊轞㺝撖,咸開二上銜匣,胡黤
2080,khaemX,䫡,咸開二上銜溪,丘檻
2081,sraemX,㨻㺑,咸開二上銜生,山檻
2082,'aemX,黤𪒠,咸開二上銜影,於檻
2083,tsrhaemX,醶,咸開二上銜初,初檻
2084,xaemX,㺖豃,咸開二上銜曉,荒檻
2085,dzraemX,巉,咸開二上銜崇,仕檻
2086,bjomX,範范軓笵犯𧍙,咸合三上凡並,防錽
2087,mjomX,錽𡕢𢨔,咸合三上凡明,亡范
2088,pjomX,𦜒,咸合三上凡幫,府犯
2089,khjomX,凵㧄,咸合三上凡溪,丘犯
2090,phjomX,釩,咸合三上凡滂,峯犯
2091,trhjomX,𠑆𨇧,咸合三上凡徹,丑犯
2092,suwngH,送鬆凇,通開一去東心,蘇弄
2093,bjuwngH,鳳,通開三去東並,馮貢
2094,kuwngH,貢贛𣹟虹羾𨹁䇨㔶㯯𧆐,通開一去東見,古送
2095,luwngH,弄𢙱梇礱哢㢅㳥,通開一去東來,盧貢
2096,tuwngH,凍涷棟湩㼯𩭩䍶腖,通開一去東端,多貢
2097,khuwngH,控倥悾鞚空𤗇,通開一去東溪,苦貢
2098,tsuwngH,糉粽䁓偬傯㚇鯼緵,通開一去東精,作弄
2099,'uwngH,瓮甕𦉥罋𪖵,通開一去東影,烏貢
2100,tshuwngH,𧩪謥憁,通開一去東清,千弄
2101,duwngH,洞恫眮絧㓊峒詷胴慟筒駧衕迵戙㗢𩐵,通開一去東定,徒弄
2102,thuwngH,痛,通開一去東透,他貢
2103,drjuwngH,仲蟲𩿀,通開三去東澄,直衆
2104,pjuwngH,諷風,通開三去東幫,方鳳
2105,khjuwngH,焪䛪䠻,通開三去東溪,去仲
2106,mjuwngH,夢㝱瞢鄸䠢,通開三去東明,莫鳳
2107,xjuwngH,𧽒䠗,通開三去東曉,香仲
2108,muwngH,𢄐霿艨,通開一去東明,莫弄
2109,tshjuwngH,趥,通開三去東清,千仲
2110,phjuwngH,賵麷,通開三去東滂,撫鳳
2111,dzuwngH,𣀒𠏭,通開一去東從,徂送
2112,trjuwngH,中衷,通開三去東知,陟仲
2113,huwngH,哄烘港閧蕻,通開一去東匣,胡貢
2114,nuwngH,齈癑,通開一去東泥,奴凍
2115,tsyuwngH,衆,通開三去東章,之仲
2116,tsyhuwngH,銃,通開三去東昌,充仲
2117,dzrjuwngH,㓽,通開三去東崇,仕仲
2118,xuwngH,烘戇,通開一去東曉,呼貢
2119,sowngH,宋,通開一去冬心,蘇統
2120,tsowngH,綜䝋錝,通開一去冬精,子宋
2121,thowngH,統𪎽,通開一去冬透,他綜
2122,mowngH,雺,通開一去冬明,莫綜
2123,howngH,䃔㗢,通開一去冬匣,乎宋
2124,yowngH,用,通開三去鍾以,余頌
2125,zjowngH,頌誦訟吅,通開三去鍾邪,似用
2126,bjowngH,俸㡝捀縫,通開三去鍾並,扶用
2127,gjowngH,共,通開三去鍾群,渠用
2128,pjowngH,葑封,通開三去鍾幫,方用
2129,kjowngH,供龏,通開三去鍾見,居用
2130,'jowngH,雍灉㙲,通開三去鍾影,於用
2131,trjowngH,湩堹諥,通開三去鍾知,竹用
2132,tsjowngH,縱瘲,通開三去鍾精,子用
2133,trhjowngH,蹱憃,通開三去鍾徹,丑用
2134,nyowngH,䩸𩉪𩼅,通開三去鍾日,而用
2135,tsyowngH,種偅㼿,通開三去鍾章,之用
2136,drjowngH,重緟𨉢,通開三去鍾澄,柱用
2137,ljowngH,贚躘儱,通開三去鍾來,良用
2138,khjowngH,恐𢖶𦶐,通開三去鍾溪,區用
2139,dzjowngH,從,通開三去鍾從,疾用
2140,nrjowngH,𢫨,通開三去鍾娘,穠用
2141,kaewngH,降絳虹𡲣洚,江開二去江見,古巷
2142,haewngH,巷衖閧,江開二去江匣,胡絳
2143,traewngH,戇,江開二去江知,陟降
2144,draewngH,撞䡴憧𢤤幢艟,江開二去江澄,直絳
2145,trhaewngH,𥈄䚎,江開二去江徹,丑絳
2146,dzraewngH,漴,江開二去江崇,士絳
2147,phaewngH,肨胖,江開二去江滂,匹絳
2148,tsrhaewngH,䎫,江開二去江初,楚絳
2149,sraewngH,淙㦼,江開二去江生,色絳
2150,tsyeH,寘忮䚳𢻈伿𡽆伎觶,止開三去支章,支義
2151,bjieH,避,止開三去支並,毗義
2152,tsyweH,惴𦥻𦦇,止合三去支章,之睡
2153,ljeH,詈荔離㿛珕𥶾,止開三去支來,力智
2154,dzyeH,豉𢻃𢐂鯷䩃䊓,止開三去支常,是義
2155,tsjeH,積㰣𧂐𦎸,止開三去支精,子智
